Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
It s Tricky,Run-D.M.C. ,1987-02-28,57,10,
Keep Your Eye On Me,Herb Alpert ,1987-02-28,46,10,
The Right Thing,Simply Red ,1987-02-28,27,15,
So Much For Love,The Venetians ,1987-02-28,88,5,
Sign O The Times,Prince ,1987-04-11,3,14,
Looking For A New Love,Jody Watley ,1987-04-11,2,19,
(I Just) Died In Your Arms,Cutting Crew ,1987-04-11,1,19,
La Isla Bonita,Madonna ,1987-04-11,4,17,
With Or Without You,U2 ,1987-04-11,1,18,
What s Going On,Cyndi Lauper ,1987-04-11,12,13,
Can tcha Say (You Believe In Me)/Still In Love,Boston ,1987-04-11,20,13,
Heat Of The Night,Bryan Adams ,1987-04-11,6,16,
Talk Dirty To Me,Poison ,1987-04-11,9,16,
Big Love,Fleetwood Mac ,1987-04-11,5,16,
Right On Track,The Breakfast Club ,1987-04-11,7,19,
I Know What I Like,Huey Lewis ,1987-04-11,9,14,
Se La,Lionel Richie ,1987-04-11,20,13,
If She Would Have Been Faithful. . .,Chicago ,1987-04-11,17,19,
Boom Boom (Let s Go Back To My Room),Paul Lekakis ,1987-04-11,43,13,
You Keep Me Hangin On,Kim Wilde ,1987-04-11,1,21,
Heartbreak Beat,Psychedelic Furs ,1987-04-11,26,14,
Brass Monkey,Beastie Boys ,1987-04-11,48,10,
Get That Love,Thompson Twins ,1987-04-11,31,11,
Meet Me Half Way,Kenny Loggins ,1987-04-11,11,25,
Day-In Day-Out,David Bowie ,1987-04-11,21,12,
Always,Atlantic Starr ,1987-04-11,1,22,
Wanted Dead Or Alive,Bon Jovi ,1987-04-11,7,17,
Fascinated,Company B ,1987-04-11,21,18,
There s Nothing Better Than Love,Luther Vandross with Gregory Hines ,1987-04-11,50,14,
Same Ole Love (365 Days A Year),Anita Baker ,1987-04-11,44,14,
Just To See Her,Smokey Robinson ,1987-04-11,8,21,
The Secret Of My Success,Night Ranger ,1987-04-11,64,8,
Lessons In Love,Level 42 ,1987-04-11,12,18,
Living In A Dream,Pseudo Echo ,1987-04-11,57,9,
Songbird,Kenny G ,1987-04-11,4,22,
I m No Angel,The Gregg Allman Band ,1987-04-11,49,10,
Don t Give Up,Peter Gabriel/Kate Bush ,1987-04-11,72,6,
Young Blood,Bruce Willis ,1987-04-11,68,5,
Head To Toe,Lisa Lisa ,1987-04-11,1,20,
Diamonds,Herb Alpert Featuring Janet Jackson ,1987-04-11,5,19,
Baby Grand,Billy Joel featuring Ray Charles ,1987-04-11,75,7,
Battleship Chains,The Georgia Satellites ,1987-04-11,86,5,
Endless Nights,Eddie Money ,1987-04-11,21,19,
He Wants My Body,Starpoint ,1987-04-11,89,7,
Shy Girl,Stacey Q ,1987-04-11,89,11,
One Simple Thing,Stabilizers ,1987-04-11,93,3,
Should I See,Frozen Ghost ,1987-04-11,69,10,
I ll Still Be Loving You,Restless Heart ,1987-04-11,33,18,
Don t Disturb This Groove,The System ,1987-04-11,4,21,
World Shut Your Mouth,Julian Cope ,1987-04-11,84,4,
"Do Ya, Do Ya (Wanna Please Me)",Samantha Fox ,1987-04-11,87,5,
Dancin With My Mirror,Corey Hart ,1987-04-11,88,3,
Wild Horses,Gino Vannelli ,1987-04-18,55,15,
We Are What We Are,The Other Ones ,1987-04-18,53,9,
Black Dog,Newcity Rockers ,1987-04-18,80,6,
Go See The Doctor,Kool Moe Dee ,1987-04-18,89,5,
In Too Deep,Genesis ,1987-04-25,3,17,
Why Can t This Night Go On Forever,Journey ,1987-04-25,60,12,
Jammin Me,Tom Petty And The Heartbreakers ,1987-04-25,18,12,
Back And Forth,Cameo ,1987-04-25,50,8,
Somebody Save Me,Cinderella ,1987-04-25,66,7,
Sweet Sixteen,Billy Idol ,1987-04-25,20,14,
Something In My House,Dead Or Alive ,1987-04-25,85,6,
Dirty Water,Rock And Hyde ,1987-04-25,61,10,
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston ,1987-06-13,1,20,
Alone,Heart ,1987-06-13,1,21,
"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger ,1987-06-13,1,18,
Point Of No Return,Expose ,1987-06-13,5,17,
Something So Strong,Crowded House ,1987-06-13,7,21,
Funkytown,Pseudo Echo ,1987-06-13,6,15,
Heart And Soul,T Pau ,1987-06-13,4,25,
"Girls, Girls, Girls",Motley Crue ,1987-06-13,12,15,
Soul City,Partland Brothers ,1987-06-13,27,13,
Rock The Night,Europe ,1987-06-13,30,13,
Kiss Him Goodbye,The Nylons ,1987-06-13,12,17,
Rhythm Is Gonna Get You,Gloria Estefan ,1987-06-13,5,17,
I d Still Say Yes,Klymaxx ,1987-06-13,18,20,
The Pleasure Principle,Janet Jackson ,1987-06-13,14,18,
Happy,Surface ,1987-06-13,20,14,
Flames Of Paradise,Jennifer Rush (Duet With Elton John) ,1987-06-13,36,13,
"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael ,1987-06-13,2,20,
Wot s It To Ya,Robbie Nevil ,1987-06-13,10,16,
"Cross My Broken Heart (From ""Beverly Hills Cop II"")",The Jets ,1987-06-13,7,16,
I Still Haven t Found What I m Looking For,U2 ,1987-06-13,1,17,
Only In My Dreams,Debbie Gibson ,1987-06-13,4,28,
Back In The High Life Again,Steve Winwood ,1987-06-13,13,21,
Ready Or Not,Lou Gramm ,1987-06-13,54,12,
Moonlighting (Theme),Al Jarreau ,1987-06-13,23,13,
Why Should I Cry?,Nona Hendryx ,1987-06-13,58,9,
One For The Mockingbird,Cutting Crew ,1987-06-13,38,11,
Why You Treat Me So Bad,Club Nouveau ,1987-06-13,39,13,
Give Me All Night,Carly Simon ,1987-06-13,61,12,
Rock Steady,The Whispers ,1987-06-13,7,23,
Variety Tonight,REO Speedwagon ,1987-06-13,60,9,
Weapons Of Love,The Truth ,1987-06-13,65,9,
If I Was Your Girlfriend,Prince ,1987-06-13,67,6,
"Hypnotize Me (From ""Innerspace"")",Wang Chung ,1987-06-13,36,12,
Hearts On Fire,Bryan Adams ,1987-06-13,26,13,
Primitive Love Rites,Mondo Rock ,1987-06-13,71,6,
Can t Get Started,Peter Wolf ,1987-06-13,75,5,
Luka,Suzanne Vega ,1987-06-13,3,19,
Don t Mean Nothing,Richard Marx ,1987-06-13,3,19,
Since You ve Been Gone,The Outfield ,1987-06-13,31,15,
Boy Blue,Cyndi Lauper ,1987-06-13,71,4,
Can t We Try,Dan Hill (Duet With Vonda Shepard) ,1987-06-13,6,22,
She Don t Look Back,Dan Fogelberg ,1987-06-13,84,6,
Mary s Prayer,Danny Wilson ,1987-06-13,23,18,
Weatherman Says,Jack Wagner ,1987-06-13,67,6,
Right Next Door (Because Of Me),The Robert Cray Band ,1987-06-13,80,6,
Under The Boardwalk,Bruce Willis ,1987-06-13,59,7,
I Want Action,Poison ,1987-06-13,50,10,
Want You For My Girlfriend,4 By Four ,1987-06-13,79,6,
Still Of The Night,Whitesnake ,1987-06-13,79,7,
Downtown Train,Patty Smyth ,1987-06-13,95,2,
Certain Things Are Likely,K.T.P. ,1987-06-13,97,4,
Break Every Rule,Tina Turner ,1987-06-06,74,5,
Man Against The World,Survivor ,1987-06-06,86,5,
Seven Wonders,Fleetwood Mac ,1987-06-20,19,13,
Give To Live,Sammy Hagar ,1987-06-20,23,17,
That s Freedom,Tom Kimmel ,1987-06-20,64,8,
Living In A Box,Living In A Box ,1987-06-20,17,15,
Still A Thrill,Jody Watley ,1987-06-20,56,7,
These Times Are Hard For Lovers,John Waite ,1987-06-20,53,16,
Why Can t I Be You?,The Cure ,1987-06-20,54,12,
Rock-A-Lott,Aretha Franklin ,1987-06-20,82,4,
"Good Times (From ""The Lost Boys"")",INXS ,1987-06-20,47,13,
La Bamba,Los Lobos ,1987-09-05,1,21,
I Just Can t Stop Loving You,Michael Jackson With Siedah Garrett ,1987-09-05,1,12,
Who s That Girl,Madonna ,1987-09-05,1,14,
Didn t We Almost Have It All,Whitney Houston ,1987-09-05,1,15,
Here I Go Again,Whitesnake ,1987-09-05,1,28,
Doing It All For My Baby,Huey Lewis ,1987-09-05,6,14,
When Smokey Sings,ABC ,1987-09-05,5,19,
Love Power,Dionne Warwick ,1987-09-05,12,13,
It s Not Over ( Til It s Over),Starship ,1987-09-05,9,15,
Touch Of Grey,Grateful Dead ,1987-09-05,9,15,
Wipeout,Fat Boys ,1987-09-05,12,17,
"I Heard A Rumour (From ""Disorderlies"")",Bananarama ,1987-09-05,4,19,
I Need Love,LL Cool J ,1987-09-05,14,13,
Who Found Who,Jellybean featuring Elisa Fiorillo ,1987-09-05,16,15,
Lost In Emotion,Lisa Lisa ,1987-09-05,3,18,
Carrie,Europe ,1987-09-05,3,19,
One Heartbeat,Smokey Robinson ,1987-09-05,10,19,
Lies,Jonathan Butler ,1987-09-05,27,14,
U Got The Look,Prince ,1987-09-05,2,25,
Jump Start,Natalie Cole ,1987-09-05,13,18,
Who Will You Run To,Heart ,1987-09-05,7,22,
Paper In Fire,John Mellencamp ,1987-09-05,9,16,
Casanova,Levert ,1987-09-05,5,18,
Making Love In The Rain,Herb Alpert ,1987-09-05,35,14,
Let Me Be The One,Expose ,1987-09-05,7,22,
Never Let Me Down,David Bowie ,1987-09-05,27,11,
Fake,Alexander O Neal ,1987-09-05,25,13,
"Back To Paradise (From ""Revenge Of The Nerds II"")",Thirty Eight Special ,1987-09-05,41,11,
"Be There (From ""Beverly Hills Cop II"")",The Pointer Sisters ,1987-09-05,42,9,
Jam Tonight,Freddie Jackson ,1987-09-05,32,13,
Victim Of Love,Bryan Adams ,1987-09-05,32,12,
Something Real (Inside Me/Inside You),Mr. Mister ,1987-09-05,29,11,
Little Lies,Fleetwood Mac ,1987-09-05,4,21,
In My Dreams,REO Speedwagon ,1987-09-05,19,30,
You Are The Girl,The Cars ,1987-09-05,17,14,
Misfit,Curiosity Killed The Cat ,1987-09-05,42,13,
Don t Look Down - The Sequel,Go West ,1987-09-05,39,11,
Oh Yeah,Yello ,1987-09-05,51,11,
Breakout,Swing Out Sister ,1987-09-05,6,23,
Dreamin ,Will To Power ,1987-09-05,50,15,
Holiday,The Other Ones ,1987-09-05,29,17,
Don t Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams) ,1987-09-05,15,16,
One Lover At A Time,Atlantic Starr ,1987-09-05,58,13,
Dinner With Gershwin,Donna Summer ,1987-09-05,48,11,
I Think We're Alone Now,Tiffany ,1987-09-05,1,24,
Notorious,Loverboy ,1987-09-05,38,14,
Johnny B,Hooters ,1987-09-05,61,11,
It s A Sin,Pet Shop Boys ,1987-09-05,9,16,
World Where You Live,Crowded House ,1987-09-05,65,8,
Mony Mony,Billy Idol ,1987-09-05,1,22,
Silent Morning,Noel ,1987-09-05,47,22,
I ve Been In Love Before,Cutting Crew ,1987-09-05,9,18,
I Don t Think That Man Should Sleep Alone,Ray Parker Jr. ,1987-09-05,68,6,
Rock Me,Great White ,1987-09-05,60,14,
Heartache,Pepsi ,1987-09-05,78,8,
No One In The World,Anita Baker ,1987-09-05,44,17,
Women,Def Leppard ,1987-09-05,80,5,
Let s Dance,Chris Rea ,1987-09-05,81,5,
Painted Moon,The Silencers ,1987-09-05,82,6,
Happy Together,The Nylons ,1987-09-05,75,7,
Watching Over You,Glenn Medeiros ,1987-09-05,80,8,
I Won t Forget You,Poison ,1987-09-05,13,18,
He s My Girl,David Hallyday ,1987-09-05,79,6,
Love Is A House,Force M.D. s ,1987-09-05,78,7,
Shattered Glass,Laura Branigan ,1987-09-05,48,10,
That s What Love Is All About,Michael Bolton ,1987-09-05,19,22,
Betcha Say That,Gloria Estefan ,1987-09-05,36,9,
Show Me The Way,Regina Belle ,1987-09-05,68,9,
Say You Really Want Me,Kim Wilde ,1987-09-05,44,8,
Kiss And Tell,The Breakfast Club ,1987-09-05,48,9,
Tina Cherry,Georgio ,1987-09-05,96,2,
Jane s Getting Serious,Jon Astley ,1987-06-27,77,10,
Holiday,Kool ,1987-06-27,66,7,
Causing A Commotion,Madonna ,1987-09-12,2,18,
Where The Streets Have No Name,U2 ,1987-09-12,13,14,
Let s Work,Mick Jagger ,1987-09-12,39,7,
Love Is Contagious,Taja Sevelle ,1987-09-12,62,10,
Sugar Free,Wa Wa Nee ,1987-09-12,35,13,
"Come On, Let s Go",Los Lobos ,1987-09-12,21,12,
Solitude Standing,Suzanne Vega ,1987-09-12,94,3,
Rev It Up,Newcity Rockers ,1987-09-12,86,4,
Bad,Michael Jackson ,1987-09-19,1,14,
Waterfall,Wendy And Lisa ,1987-09-19,56,10,
Hourglass,Squeeze ,1987-09-19,15,19,
You Win Again,Bee Gees ,1987-09-19,75,6,
The One I Love,R.E.M. ,1987-09-19,9,20,
Boys Night Out,Timothy B. Schmit ,1987-09-19,25,13,
We Should Be Sleeping,Eddie Money ,1987-09-19,90,3,
Should ve Known Better,Richard Marx ,1987-09-26,3,18,
Heaven Is A Place On Earth,Belinda Carlisle ,1987-09-26,1,21,
(I ve Had) The Time Of My Life,Bill Medley ,1987-09-26,1,18,
Beat Patrol,Starship ,1987-09-26,46,10,
"Catch Me (I m Falling) (From The Film ""Hiding Out"")",Pretty Poison ,1987-09-26,8,20,
Don t Lose Any Sleep,John Waite ,1987-09-26,82,2,
Heart And Soul,The Monkees ,1987-09-26,87,4,
Follow You,Glen Burtnick ,1987-09-26,65,8,
Crazy Crazy Nights,Kiss ,1987-09-26,65,7,
Brilliant Disguise,Bruce Springsteen ,1987-11-14,5,16,
We ll Be Together,Sting ,1987-11-14,7,15,
Shake Your Love,Debbie Gibson ,1987-11-14,4,22,
Faith,George Michael ,1987-11-14,1,21,
Don t You Want Me,Jody Watley ,1987-11-14,6,20,
Is This Love,Whitesnake ,1987-11-14,2,19,
Skeletons,Stevie Wonder ,1987-11-14,19,16,
So Emotional,Whitney Houston ,1987-11-14,1,19,
Dude (Looks Like A Lady),Aerosmith ,1987-11-14,14,20,
Love Will Find A Way,Yes ,1987-11-14,30,19,
I Do You,The Jets ,1987-11-14,20,15,
Got My Mind Set On You,George Harrison ,1987-11-14,1,22,
Tell It To My Heart,Taylor Dayne ,1987-11-14,7,25,
Cherry Bomb,John Mellencamp ,1987-11-14,8,21,
Animal,Def Leppard ,1987-11-14,19,19,
Need You Tonight,INXS ,1987-11-14,1,25,
Candle In The Wind,Elton John ,1987-11-14,6,21,
I Don t Mind At All,Bourgeois Tagg ,1987-11-14,38,14,
There s The Girl,Heart ,1987-11-14,12,17,
Just Like Heaven,The Cure ,1987-11-14,40,19,
Power Of Love,Laura Branigan ,1987-11-14,26,18,
True Faith,New Order ,1987-11-14,32,18,
Crazy,Icehouse ,1987-11-14,14,21,
Motortown,The Kane Gang ,1987-11-14,36,16,
Pop Goes The World,Men Without Hats ,1987-11-14,20,21,
Reservations For Two,Dionne ,1987-11-14,62,7,
(Baby Tell Me) Can You Dance,Shanice Wilson ,1987-11-14,50,13,
Satellite,Hooters ,1987-11-14,61,8,
I Live For Your Love,Natalie Cole ,1987-11-14,13,22,
"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen ,1987-11-14,4,25,
Kick The Wall,Jimmy Davis ,1987-11-14,67,6,
If You Let Me Stay,Terence Trent D Arby ,1987-11-14,68,8,
Crazy World,Big Trouble ,1987-11-14,71,7,
Don t Shed A Tear,Paul Carrack ,1987-11-14,9,17,
Hazy Shade Of Winter,Bangles ,1987-11-14,2,21,
We ve Only Just Begun (The Romance Is Not Over),Glenn Jones ,1987-11-14,66,13,
Special Way,Kool ,1987-11-14,72,12,
System Of Survival,"Earth, Wind ",1987-11-14,60,12,
Honestly,Stryper ,1987-11-14,23,19,
Sweet Rachel,Beau Coup ,1987-11-14,80,6,
I Could Never Take The Place Of Your Man,Prince ,1987-11-14,10,17,
Guaranteed For Life,Millions Like Us ,1987-11-14,69,6,
Learning To Fly,Pink Floyd ,1987-11-14,70,8,
The Real Thing,Jellybean Featuring Steven Dante ,1987-11-14,82,6,
Eagles Fly,Sammy Hagar ,1987-11-14,82,13,
I Want To Be Your Man,Roger ,1987-11-14,3,21,
What s Too Much,Smokey Robinson ,1987-11-14,79,9,
Someone To Love Me For Me,Lisa Lisa ,1987-11-14,78,9,
Strap Me In,The Cars ,1987-11-14,85,4,
Criticize,Alexander O Neal ,1987-11-14,70,10,
Nothing s Gonna Stop Me Now,Samantha Fox ,1987-11-07,80,3,
So The Story Goes,Living In A Box ,1987-11-07,81,4,
American Dream,Simon F ,1987-10-31,91,2,
The Way You Make Me Feel,Michael Jackson ,1987-11-21,1,18,
Push It,Salt-N-Pepa ,1987-11-21,19,25,
I Can t Help It,Bananarama ,1987-11-21,47,12,
I Found Someone,Cher ,1987-11-21,10,26,
Can t Stay Away From You,Gloria Estefan ,1987-11-21,6,16,
Don t Tell Me The Time,Martha Davis ,1987-11-21,80,7,
You And Me Tonight,Deja ,1987-11-21,54,12,
Seasons Change,Expose ,1987-11-28,1,20,
Everywhere,Fleetwood Mac ,1987-11-28,14,18,
Throwaway,Mick Jagger ,1987-11-28,67,9,
Could've Been,Tiffany ,1987-11-28,1,20,
Cherokee,Europe ,1987-11-28,72,10,
She s Fly,Tony Terry ,1987-11-28,80,8,
You re All I Need,Motley Crue ,1987-11-28,83,7,
Because Of You,The Cover Girls ,1987-11-28,27,20,
Pump Up The Volume,M/A/R/R/S ,1987-11-28,13,23,
Tunnel Of Love,Bruce Springsteen ,1987-12-19,9,16,
Say You Will,Foreigner ,1987-12-19,6,19,
What Have I Done To Deserve This?,Pet Shop Boys ,1987-12-19,2,12,
In God s Country,U2 ,1987-12-19,44,11,
Lover s Lane,Georgio ,1987-12-19,59,11,
Never Gonna Give You Up,Rick Astley ,1987-12-19,1,24,
Never Thought (That I Could Love),Dan Hill ,1987-12-19,43,20,
853-5937,Squeeze ,1987-12-19,32,12,
Reason To Live,Kiss ,1987-12-19,64,12,
Dear Mr. Jesus,Powersource (Solo...Sharon) ,1987-12-19,61,7,
She s Like The Wind,Patrick Swayze (Featuring Wendy Fraser) ,1987-12-19,3,14,
Hot Hot Hot,Buster Poindexter ,1987-12-19,45,12,
Rhythm Of Love,Yes ,1987-12-19,40,12,
I Need A Man,Eurythmics ,1987-12-19,46,10,
Lonely Won t Leave Me Alone,Glenn Medeiros ,1987-12-19,67,10,
Rain In The Summertime,The Alarm ,1987-12-19,71,8,
Twilight World,Swing Out Sister ,1987-12-19,31,15,
Burning Like A Flame,Dokken ,1987-12-19,72,8,
Don't You Want Me,Jody Watley ,1987-12-26,6,3,
"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",Pretty Poison ,1987-12-26,8,3,
There's The Girl,Heart ,1987-12-26,18,2,
(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes ,1987-12-26,21,3,
That's What Love Is All About,Michael Bolton ,1987-12-26,24,3,
We'll Be Together,Sting ,1987-12-26,28,3,
Should've Known Better,Richard Marx ,1987-12-26,28,3,
Don't Shed A Tear,Paul Carrack ,1987-12-26,34,7,
What Have I Done To Deserve This?,Pet Shop Boys & Dusty Springfield ,1987-12-26,18,6,
Can't Stay Away From You,Gloria Estefan & Miami Sound Machine ,1987-12-26,10,7,
I Don't Mind At All,Bourgeois Tagg ,1987-12-26,47,3,
I Can't Help It,Bananarama ,1987-12-26,48,1,
In God's Country,U2 ,1987-12-26,53,1,
She's Like The Wind,Patrick Swayze (Featuring Wendy Fraser) ,1987-12-26,3,7,
I've Been In Love Before,Cutting Crew ,1987-12-26,26,3,
Lover's Lane,Georgio ,1987-12-26,59,1,
System Of Survival,"Earth, Wind & Fire ",1987-12-26,66,1,
Hot Hot Hot,Buster Poindexter & His Banshees Of Blue ,1987-12-26,67,1,
I Won't Forget You,Poison ,1987-12-26,31,3,
Criticize,Alexander O'Neal ,1987-12-26,74,1,
"Live My Life (From The Film ""Hiding Out"")",Boy George ,1987-12-26,40,12,
She's Fly,Tony Terry ,1987-12-26,83,1,
Someone To Love Me For Me,Lisa Lisa & Cult Jam Featuring Full Force ,1987-12-26,86,1,
We've Only Just Begun (The Romance Is Not Over),Glenn Jones ,1987-12-26,87,1,
Lonely Won't Leave Me Alone,Glenn Medeiros ,1987-12-26,88,1,
What's Too Much,Smokey Robinson ,1987-12-26,90,1,
You're All I Need,Motley Crue ,1987-12-26,91,1,
Special Way,Kool & The Gang ,1987-12-26,88,2,
It's A Sin,Pet Shop Boys ,1987-12-26,19,3,
Never Let Me Down Again,Depeche Mode ,1987-12-26,63,10,
Don't Tell Me The Time,Martha Davis ,1987-12-26,99,1,
Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams) ,1987-12-26,24,3,
Father Figure,George Michael ,1988-01-30,1,17,
I Get Weak,Belinda Carlisle ,1988-01-30,2,16,
Just Like Paradise,David Lee Roth ,1988-01-30,6,16,
Love Overboard,Gladys Knight ,1988-01-30,17,9,
Endless Summer Nights,Richard Marx ,1988-01-30,2,21,
Be Still My Beating Heart,Sting ,1988-01-30,15,14,
I Want Her,Keith Sweat ,1988-01-30,5,20,
Hysteria,Def Leppard ,1988-01-30,10,16,
Out Of The Blue,Debbie Gibson ,1988-01-30,3,17,
(Sittin On) The Dock Of The Bay,Michael Bolton ,1988-01-30,23,10,
Rocket 2 U,The Jets ,1988-01-30,6,22,
Wishing Well,Terence Trent D Arby ,1988-01-30,1,13,
Never Can Say Goodbye,The Communards ,1988-01-30,51,9,
You Don t Know,Scarlett ,1988-01-30,26,9,
Never Knew Love Like This,Alexander O Neal Featuring Cherrelle ,1988-01-30,40,8,
How Can I Forget You,Elisa Fiorillo ,1988-01-30,60,8,
All I Want Is You,Carly Simon ,1988-01-30,54,9,
Girlfriend,Pebbles ,1988-01-30,5,20,
Some Kind Of Lover,Jody Watley ,1988-01-30,10,17,
Save Your Love,Great White ,1988-01-30,57,12,
Angel,Aerosmith ,1988-01-30,3,25,
It s The End Of The World As We Know It (And I Feel Fine),R.E.M. ,1988-01-30,69,6,
Coming Up You,The Cars ,1988-01-30,74,5,
I Heard It Through The Grapevine,The California Raisins ,1988-01-30,84,4,
Stimulation,Wa Wa Nee ,1988-01-30,86,2,
Man In The Mirror,Michael Jackson ,1988-02-06,1,17,
When We Was Fab,George Harrison ,1988-02-06,23,11,
Check It Out,John Mellencamp ,1988-02-06,14,15,
Rock Of Life,Rick Springfield ,1988-02-06,22,15,
Hot Thing,Prince ,1988-02-06,63,9,
You Will Know,Stevie Wonder ,1988-02-06,77,6,
Don t Look Any Further,The Kane Gang ,1988-02-06,64,5,
The Motion Of Love,Gene Loves Jezebel ,1988-02-06,87,3,
Without You,Peabo Bryson ,1988-02-06,89,3,
"Get Outta My Dreams, Get Into My Car",Billy Ocean ,1988-02-20,1,20,
Devil Inside,INXS ,1988-02-20,2,17,
Give Me All Your Love,Whitesnake ,1988-02-20,48,11,
What A Wonderful World,Louis Armstrong ,1988-02-20,32,11,
Electric Blue,Icehouse ,1988-02-20,7,21,
Talking Back To The Night,Steve Winwood ,1988-02-20,57,10,
Thinking Of You,"Earth, Wind ",1988-02-20,68,4,
I Wish I Had A Girl,Henry Lee Summer ,1988-02-20,20,18,
Prove Your Love,Taylor Dayne ,1988-02-20,7,18,
I Want You So Bad,Heart ,1988-02-20,49,9,
Fishnet,Morris Day ,1988-02-20,23,13,
Pamela,Toto ,1988-02-20,22,19,
Ever Since The World Began,Tommy Shaw ,1988-02-20,75,9,
"Going Back To Cali (From ""Less Than Zero"")",LL Cool J ,1988-02-20,31,14,
All Right Now,Pepsi ,1988-02-20,79,3,
Are You Sure,So ,1988-02-20,41,11,
Piano In The Dark,Brenda Russell Featuring Joe Esposito ,1988-02-20,6,25,
Where Do Broken Hearts Go,Whitney Houston ,1988-02-27,1,18,
I Saw Him Standing There,Tiffany ,1988-02-27,7,14,
One Step Up,Bruce Springsteen ,1988-02-27,13,15,
Don t Make A Fool Of Yourself,Stacey Q ,1988-02-27,77,2,
Two Occasions,The Deele ,1988-02-27,10,21,
Savin Myself,Eria Fachin ,1988-02-27,71,4,
Wait,White Lion ,1988-02-27,8,21,
Winter Games,David Foster ,1988-02-27,85,3,
Naughty Girls (Need Love Too),Samantha Fox ,1988-02-27,3,27,
Magic Carpet Ride,Bardeux ,1988-02-27,81,7,
"Kiss And Tell (From ""Bright Lights, Big City"")",Bryan Ferry ,1988-02-27,31,13,
(Sittin' On) The Dock Of The Bay,Michael Bolton ,1988-04-02,11,7,
Wishing Well,Terence Trent D'Arby ,1988-04-02,3,12,
Pink Cadillac,Natalie Cole ,1988-04-02,5,17,
You Don't Know,Scarlett & Black ,1988-04-02,20,9,
Never Knew Love Like This,Alexander O'Neal Featuring Cherrelle ,1988-04-02,28,6,
Anything For You,Gloria Estefan & Miami Sound Machine ,1988-04-02,1,14,
Shattered Dreams,Johnny Hates Jazz ,1988-04-02,2,19,
I Don't Want To Live Without You,Foreigner ,1988-04-02,5,11,
Always On My Mind,Pet Shop Boys ,1988-04-02,4,15,
Dreaming,Orchestral Manoeuvres In The Dark ,1988-04-02,16,17,
Say It Again,Jermaine Stewart ,1988-04-02,27,12,
Strange But True,Times Two ,1988-04-02,21,17,
Savin' Myself,Eria Fachin ,1988-04-02,50,6,
Love Overboard,Gladys Knight & The Pips ,1988-04-02,13,4,
One Good Reason,Paul Carrack ,1988-04-02,28,13,
My Girl,Suave ,1988-04-02,20,15,
Ritual,Dan Reed Network ,1988-04-02,38,11,
"Yes (From The Motion Picture ""Dirty Dancing"")",Merry Clayton ,1988-04-02,45,11,
Love In The First Degree,Bananarama ,1988-04-02,48,10,
Hot Hot Hot!!!,The Cure ,1988-04-02,65,7,
Don't Make A Fool Of Yourself,Stacey Q ,1988-04-02,66,6,
I Want To Be Your Property,Blue Mercedes ,1988-04-02,66,6,
Samantha (What You Gonna Do?),Cellarful Of Noise ,1988-04-02,69,7,
Play That Funky Music,Roxanne ,1988-04-02,63,7,
Promise Me,The Cover Girls ,1988-04-02,40,19,
Breakaway,Big Pig ,1988-04-02,60,10,
Nightime,Pretty Poison ,1988-04-02,36,12,
